k,WCSS,Silhouette,DBI,Empty Clusters
2,328.899892173079,0.4964279403621818,1.0175618023862296,0
3,266.16732043456534,0.4212953894059423,1.0149468847153063,0
4,159.40177924643382,0.5076070087910899,0.8146091290591629,0
5,115.08963287889294,0.543554969796692,0.8125111063046864,0
6,95.05866653215452,0.563213412846789,0.8540068172951999,0
7,83.20848882009378,0.5917093584690962,0.8291812964771498,0
8,75.42036917071185,0.5932542930038157,0.9305266081178845,0
9,57.22332840533982,0.6108307698512374,0.8034702621147828,0
10,47.74954898776405,0.6312410787051966,0.7383428594925789,0
11,41.85589697257393,0.6390240832018345,0.6805278773141933,0
12,37.47296191975977,0.6397254986743011,0.7314015985906338,0
13,35.919448731159235,0.6381362849714286,0.8022785306900087,0
14,31.518780191203877,0.6506650690556142,0.7589647252961809,0
15,26.802544617922404,0.6547322680334967,0.7697657427601705,0
16,25.03940656068157,0.6584933595630367,0.6770187212861963,0
17,23.27269240773398,0.6655968372736523,0.6506391182618934,0
18,23.170516351105444,0.6612421959854323,0.703000117553573,0
19,20.774980513302253,0.5538334980025562,0.7270714061689769,0
20,19.82121216709092,0.5161291314417696,0.7475824560204269,0
